"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"trial_type_less_granular"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
642.731	"famous_faces_false_combination"	1	"right"	1.011	2.508	"famous_faces"	645.215	643.742
646.275	"famous_faces_false_combination"	1	"right"	1.001	2.508	"famous_faces"	648.754	647.276
649.652	"recently_learned_faces_correct_combination"	1	"left"	1.196	2.507	"recently_learned_faces"	652.142	650.848
653.296	"famous_faces_baseline"	1	"left"	0.99	2.508	"famous_faces_baseline"	655.781	654.286
656.84	"recently_learned_faces_correct_combination"	1	"left"	1.666	2.508	"recently_learned_faces"	659.319	658.506
660.167	"recently_learned_faces_false_combination"	1	"right"	1.167	2.507	"recently_learned_faces"	662.656	661.334
663.811	"famous_faces_baseline"	1	"right"	1.005	2.507	"famous_faces_baseline"	666.295	664.816
667.255	"famous_faces_false_combination"	1	"right"	0.886	2.507	"famous_faces"	669.733	668.141
672.754	"recently_learned_faces_correct_combination"	1	"left"	1.183	2.491	"recently_learned_faces"	675.224	673.937
676.432	"recently_learned_faces_baseline"	1	"left"	1.101	2.507	"recently_learned_faces_baseline"	678.913	677.533
679.759	"recently_learned_faces_correct_combination"	1	"left"	0.798	2.507	"recently_learned_faces"	682.25	680.557
683.302	"famous_faces_false_combination"	1	"right"	0.946	2.508	"famous_faces"	685.789	684.248
686.846	"recently_learned_faces_correct_combination"	1	"left"	1.491	2.508	"recently_learned_faces"	689.328	688.337
690.273	"famous_faces_baseline"	1	"left"	0.87	2.524	"famous_faces_baseline"	692.766	691.143
693.867	"famous_faces_baseline"	1	"left"	0.818	2.508	"famous_faces_baseline"	696.355	694.685
697.16	"famous_faces_correct_combination"	1	"left"	0.901	2.508	"famous_faces"	699.642	698.061
700.688	"recently_learned_faces_false_combination"	1	"right"	1.192	2.507	"recently_learned_faces"	703.18	701.88
704.282	"recently_learned_faces_correct_combination"	1	"left"	0.764	2.507	"recently_learned_faces"	706.769	705.046
707.675	"recently_learned_faces_correct_combination"	1	"left"	1.144	2.508	"recently_learned_faces"	710.156	708.819
711.303	"famous_faces_baseline"	1	"left"	0.974	2.507	"famous_faces_baseline"	713.795	712.277
714.596	"recently_learned_faces_baseline"	1	"right"	0.877	2.507	"recently_learned_faces_baseline"	717.082	715.473
720.33	"famous_faces_false_combination"	1	"right"	0.88	2.524	"famous_faces"	722.823	721.21
723.874	"famous_faces_baseline"	1	"left"	0.917	2.507	"famous_faces_baseline"	726.362	724.791
727.217	"recently_learned_faces_false_combination"	1	"right"	1.084	2.507	"recently_learned_faces"	729.699	728.301
730.744	"famous_faces_correct_combination"	1	"left"	0.912	2.524	"famous_faces"	733.237	731.656
734.388	"recently_learned_faces_correct_combination"	1	"left"	1.027	2.508	"recently_learned_faces"	736.876	735.415
