onset	duration	trial_type	accuracy	button	response_time	trial_type_less_granular	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
568.711	2.508	recently_learned_faces_false_combination	1	right	1.901	recently_learned_faces	571.201	570.612
572.105	2.507	recently_learned_faces_false_combination	0	left	2.079	recently_learned_faces	574.589	574.184
577.889	2.524	recently_learned_faces_baseline	1	left	1.102	recently_learned_faces_baseline	580.381	578.991
581.232	2.508	recently_learned_faces_baseline	1	right	1.318	recently_learned_faces_baseline	583.718	582.55
584.826	2.508	recently_learned_faces_false_combination	0	NA	NA	recently_learned_faces	587.307	NA
588.404	2.524	famous_faces_correct_combination	1	left	1.147	famous_faces	590.896	589.551
591.747	2.507	recently_learned_faces_baseline	1	right	0.974	recently_learned_faces_baseline	594.233	592.721
595.341	2.507	famous_faces_correct_combination	1	left	0.985	famous_faces	597.822	596.326
598.768	2.507	famous_faces_baseline	1	left	1.312	famous_faces_baseline	601.26	600.08
602.161	2.508	recently_learned_faces_false_combination	0	left	1.517	recently_learned_faces	604.648	603.678
605.856	2.507	recently_learned_faces_false_combination	1	right	1.171	recently_learned_faces	608.337	607.027
609.182	2.508	famous_faces_baseline	1	right	1.185	famous_faces_baseline	611.674	610.367
612.827	2.507	famous_faces_baseline	1	right	1.239	famous_faces_baseline	615.313	614.066
616.17	2.507	recently_learned_faces_baseline	1	left	1.317	recently_learned_faces_baseline	618.65	617.487
619.697	2.508	famous_faces_correct_combination	1	left	1.02	famous_faces	622.189	620.717
625.347	2.508	famous_faces_correct_combination	1	left	1.475	famous_faces	627.83	626.822
628.925	2.524	famous_faces_false_combination	1	right	1.626	famous_faces	631.419	630.551
632.218	2.507	famous_faces_correct_combination	1	left	1.368	famous_faces	634.706	633.586
635.762	2.507	famous_faces_false_combination	1	right	1.078	famous_faces	638.244	636.84
639.339	2.524	recently_learned_faces_false_combination	1	right	1.505	recently_learned_faces	641.833	640.844
642.783	2.507	famous_faces_false_combination	1	right	1.238	famous_faces	645.271	644.021
646.226	2.508	famous_faces_false_combination	1	right	1.141	famous_faces	648.709	647.367
649.804	2.524	recently_learned_faces_correct_combination	1	left	1.118	recently_learned_faces	652.298	650.922
653.147	2.508	famous_faces_baseline	1	left	0.959	famous_faces_baseline	655.635	654.106
656.841	2.508	recently_learned_faces_correct_combination	1	left	1.337	recently_learned_faces	659.324	658.178
660.268	2.525	recently_learned_faces_false_combination	1	right	1.47	recently_learned_faces	662.762	661.738
663.612	2.507	famous_faces_baseline	1	right	0.952	famous_faces_baseline	666.099	664.564
667.306	2.508	famous_faces_false_combination	1	right	1.056	famous_faces	669.788	668.362
672.839	2.508	recently_learned_faces_correct_combination	1	left	1.61	recently_learned_faces	675.329	674.449
676.433	2.508	recently_learned_faces_baseline	1	left	0.732	recently_learned_faces_baseline	678.918	677.165
679.727	2.507	recently_learned_faces_correct_combination	1	left	0.791	recently_learned_faces	682.205	680.518
683.354	2.508	famous_faces_false_combination	1	right	1.67	famous_faces	685.844	685.024
686.748	2.507	recently_learned_faces_correct_combination	1	left	2.095	recently_learned_faces	689.231	688.843
690.174	2.525	famous_faces_baseline	1	left	0.886	famous_faces_baseline	692.669	691.06
693.769	2.507	famous_faces_baseline	1	left	0.791	famous_faces_baseline	696.258	694.56
697.212	2.508	famous_faces_correct_combination	1	left	1.197	famous_faces	699.696	698.409
700.856	2.508	recently_learned_faces_false_combination	1	right	1.436	recently_learned_faces	703.335	702.292
704.283	2.508	recently_learned_faces_correct_combination	0	right	1.842	recently_learned_faces	706.773	706.125
707.827	2.508	recently_learned_faces_correct_combination	0	right	1.481	recently_learned_faces	710.311	709.308
711.221	2.507	famous_faces_baseline	1	left	1.09	famous_faces_baseline	713.699	712.311
714.748	2.507	recently_learned_faces_baseline	1	right	1.443	recently_learned_faces_baseline	717.238	716.191
720.448	2.508	famous_faces_false_combination	1	right	1.409	famous_faces	722.928	721.857
723.825	2.508	famous_faces_baseline	1	left	1.134	famous_faces_baseline	726.316	724.959
727.269	2.507	recently_learned_faces_false_combination	1	right	2.079	recently_learned_faces	729.754	729.348
730.712	2.508	famous_faces_correct_combination	1	left	1.065	famous_faces	733.192	731.777
734.34	2.507	recently_learned_faces_correct_combination	1	left	1.488	recently_learned_faces	736.831	735.828
737.884	2.507	recently_learned_faces_correct_combination	1	left	1.391	recently_learned_faces	740.369	739.275
741.227	2.508	famous_faces_correct_combination	1	left	0.948	famous_faces	743.706	742.175
744.654	2.508	recently_learned_faces_correct_combination	1	left	1.473	recently_learned_faces	747.144	746.127
748.298	2.508	recently_learned_faces_false_combination	1	right	1.557	recently_learned_faces	750.783	749.855
751.742	2.507	recently_learned_faces_baseline	1	right	1.022	recently_learned_faces_baseline	754.221	752.764
755.319	2.508	recently_learned_faces_correct_combination	0	right	1.289	recently_learned_faces	757.81	756.608
758.713	2.507	recently_learned_faces_false_combination	1	right	1.493	recently_learned_faces	761.198	760.206
762.106	2.508	recently_learned_faces_correct_combination	1	left	1.751	recently_learned_faces	764.586	763.857
767.74	2.507	recently_learned_faces_baseline	1	right	1.555	recently_learned_faces_baseline	770.226	769.295
771.434	2.508	famous_faces_false_combination	1	right	1.425	famous_faces	773.915	772.859
774.811	2.524	famous_faces_correct_combination	1	left	1.247	famous_faces	777.303	776.058
778.254	2.508	recently_learned_faces_false_combination	0	left	2.386	recently_learned_faces	780.741	780.64
781.849	2.507	famous_faces_baseline	1	left	1.185	famous_faces_baseline	784.33	783.034
785.175	2.508	famous_faces_correct_combination	1	left	1.255	famous_faces	787.667	786.43
788.819	2.508	famous_faces_correct_combination	1	left	0.882	famous_faces	791.306	789.701
792.213	2.507	famous_faces_correct_combination	1	left	0.929	famous_faces	794.693	793.142
