"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"trial_type_less_granular"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
744.757	"recently_learned_faces_correct_combination"	0	"right"	1.436	2.507	"recently_learned_faces"	747.236	746.193
748.134	"recently_learned_faces_false_combination"	1	"right"	1.025	2.507	"recently_learned_faces"	750.624	749.159
751.828	"recently_learned_faces_baseline"	1	"right"	0.924	2.507	"recently_learned_faces_baseline"	754.313	752.752
755.171	"recently_learned_faces_correct_combination"	0	"right"	1.123	2.508	"recently_learned_faces"	757.65	756.294
758.698	"recently_learned_faces_false_combination"	1	"right"	0.758	2.508	"recently_learned_faces"	761.189	759.456
762.092	"recently_learned_faces_correct_combination"	0	"right"	0.607	2.507	"recently_learned_faces"	764.577	762.699
767.826	"recently_learned_faces_baseline"	1	"right"	1.531	2.507	"recently_learned_faces_baseline"	770.316	769.357
771.269	"famous_faces_false_combination"	1	"right"	0.957	2.508	"famous_faces"	773.754	772.226
774.713	"famous_faces_correct_combination"	1	"left"	0.981	2.507	"famous_faces"	777.192	775.694
778.34	"recently_learned_faces_false_combination"	1	"right"	1.108	2.508	"recently_learned_faces"	780.831	779.448
781.884	"famous_faces_baseline"	1	"left"	1.147	2.508	"famous_faces_baseline"	784.369	783.031
785.177	"famous_faces_correct_combination"	0	"right"	1.367	2.508	"famous_faces"	787.656	786.544
788.704	"famous_faces_correct_combination"	1	"left"	1.306	2.508	"famous_faces"	791.194	790.01
792.349	"famous_faces_correct_combination"	1	"left"	1.05	2.507	"famous_faces"	794.833	793.399
